concept,name,indicator_code,indicator_unit,concept_type
sha11_hc_4_million_ncu,Ancillary services (specified by function),sha11.HC.4,Millions,measure
sha11_hc_3_nec_million_ncu,Unspecified long-term care (n.e.c.),sha11.HC.3.nec,Millions,measure
sha11_hc_3_4_million_ncu,Home-based long-term care (health),sha11.HC.3.4,Millions,measure
sha11_hc_3_3_million_ncu,Outpatient long-term care (health),sha11.HC.3.3,Millions,measure
sha11_hc_3_2_million_ncu,Day long-term care (health),sha11.HC.3.2,Millions,measure
sha11_hc_3_1_million_ncu,Inpatient long-term care (health),sha11.HC.3.1,Millions,measure
sha11_hc_3_million_ncu,Long-term care (health),sha11.HC.3,Millions,measure
sha11_hc_2_million_ncu,Rehabilitative care,sha11.HC.2,Millions,measure
sha11_hc_1_nec_million_ncu,Unspecified curative care (n.e.c.),sha11.HC.1.nec,Millions,measure
sha11_hc_1_4_million_ncu,Home-based curative care,sha11.HC.1.4,Millions,measure
sha11_hc_1_3_nec_million_ncu,Unspecified outpatient curative care (n.e.c.),sha11.HC.1.3.nec,Millions,measure
sha11_hc_1_3_3_million_ncu,Specialised outpatient curative care,sha11.HC.1.3.3,Millions,measure
sha11_hc_1_3_2_million_ncu,Dental outpatient curative care,sha11.HC.1.3.2,Millions,measure
sha11_hc_1_3_1_million_ncu,General outpatient curative care,sha11.HC.1.3.1,Millions,measure
sha11_hc_1_3_million_ncu,Outpatient curative care,sha11.HC.1.3,Millions,measure
sha11_hc_1_2_million_ncu,Day curative care,sha11.HC.1.2,Millions,measure
sha11_hc_1_1_million_ncu,Inpatient curative care,sha11.HC.1.1,Millions,measure
sha11_hc_1_million_ncu,Curative care,sha11.HC.1,Millions,measure
gghe_dpctche_sha2011_million_ncu,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),GGHE-D%CHE_SHA2011,Ones,measure
pvt_dpctche_sha2011_million_ncu,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),PVT-D%CHE_SHA2011,Ones,measure
extpctche_sha2011_million_ncu,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),EXT%CHE_SHA2011,Ones,measure
gghe_dpctgdp_sha2011_million_ncu,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),GGHE-D%GDP_SHA2011,Ones,measure
oopspctche_sha2011_million_ncu,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),OOPS%CHE_SHA2011,Ones,measure
shi_gpctshi_sha2011_million_ncu,Government Budget Transfers to Social Health Insurance (SHI-G) as % of Social Health Insurance (SHI),SHI-G%SHI_SHA2011,Ones,measure
che_pc_us_sha2011_million_ncu,Current Health Expenditure (CHE) per Capita in US$,CHE_pc_US$_SHA2011,Ones,measure
che_pc_ppp_sha2011_million_ncu,Current Health Expenditure (CHE) per Capita in PPP,CHE_pc_PPP_SHA2011,Ones,measure
gghe_d_pc_us_sha2011_million_ncu,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,GGHE-D_pc_US$_SHA2011,Ones,measure
gghe_d_pc_ppp_sha2011_million_ncu,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,GGHE-D_pc_PPP_SHA2011,Ones,measure
pvt_d_pc_us_sha2011_million_ncu,Domestic Private Health Expenditure (PVT-D) per Capita in US$,PVT-D_pc_US$_SHA2011,Ones,measure
pvt_d_pc_ppp_sha2011_million_ncu,Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,PVT-D_pc_PPP_SHA2011,Ones,measure
ext_pc_us_sha2011_million_ncu,External Health Expenditure (EXT) per Capita in US$,EXT_pc_US$_SHA2011,Ones,measure
ext_pc_ppp_sha2011_million_ncu,External Health Expenditure (EXT) per Capita in PPP Int$,EXT_pc_PPP_SHA2011,Ones,measure
dompctche_sha2011_million_ncu,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),DOM%CHE_SHA2011,Ones,measure
gghe_dpctgge_sha2011_million_ncu,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),GGHE-D%GGE_SHA2011,Ones,measure
cfapctche_sha2011_million_ncu,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),CFA%CHE_SHA2011,Ones,measure
gfapctche_sha2011_million_ncu,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),GFA%CHE_SHA2011,Ones,measure
chipctche_sha2011_million_ncu,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),CHI%CHE_SHA2011,Ones,measure
shipctche_sha2011_million_ncu,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),SHI%CHE_SHA2011,Ones,measure
vfapctche_sha2011_million_ncu,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),VFA%CHE_SHA2011,Ones,measure
vhipctche_sha2011_million_ncu,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE),VHI%CHE_SHA2011,Ones,measure
otherpctche_sha2011_million_ncu,Other Private Health Expenditure (OTHER) as % Current Health Expenditure (CHE),OTHER%CHE_SHA2011,Ones,measure
oop_pc_us_sha2011_million_ncu,Out-of-Pocket Expenditure (OOPS) per Capita in US$,OOP_pc_US$_SHA2011,Ones,measure
oop_pc_ppp_sha2011_million_ncu,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,OOP_pc_PPP_SHA2011,Ones,measure
hkpctgdp_sha2011_million_ncu,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),HK%GDP_SHA2011,Ones,measure
shi_sepctshi_sha2011_million_ncu,Self-Employed Contributions to Social Health Insurance (SHI-SE) as % of Social Health Insurance (SHI),SHI-SE%SHI_SHA2011,Ones,measure
rowpctche_sha2011_million_ncu,Rest of the World (RoW) as % of Current Health Expenditure (CHE),ROW%CHE_SHA2011,Ones,measure
phc_indicators_million_ncu,PRIMARY HEALTH CARE (preliminary data),PHC_INDICATORS,Ones,measure
phc_pc_us_million_ncu,Primary Health Care (PHC) Expenditure per Capita in US$,PHC_pc_US$,Ones,measure
phcpctche_million_ncu,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE),PHC%CHE,Ones,measure
gghe_d_phcpctgghe_d_million_ncu,Domestic General Government Expenditure on PHC as % GGHE-D,GGHE-D_phc%GGHE-D,Ones,measure
gghe_d_phcpctphc_million_ncu,Domestic General Government Expenditure on PHC as % PHC,GGHE-D_phc%PHC,Ones,measure
sha11_hc_gghe_d_million_ncu,Domestic general government health expenditure by health care functions (preliminary data),sha11.HC_gghe-d,Millions,measure
sha11_hc_1_gghe_d_million_ncu,Domestic General Government Expenditure on Curative care,sha11.HC.1_gghe-d,Millions,measure
sha11_hc_1_3_gghe_d_million_ncu,Domestic General Government Expenditure on Outpatient curative care,sha11.HC.1.3_gghe-d,Millions,measure
sha11_hc_1_1_gghe_d_million_ncu,Domestic General Government Expenditure on Inpatient curative care,sha11.HC.1.1_gghe-d,Millions,measure
sha11_hc_1_2_gghe_d_million_ncu,Domestic General Government Expenditure on Day curative care,sha11.HC.1.2_gghe-d,Millions,measure
sha11_hc_1_4_gghe_d_million_ncu,Domestic General Government on Home-based curative care,sha11.HC.1.4_gghe-d,Millions,measure
sha11_hc_1_nec_gghe_d_million_ncu,Domestic General Government Expenditure on Other curative care,sha11.HC.1.nec_gghe-d,Millions,measure
sha11_hc_1_3_1_gghe_d_million_ncu,Domestic General Government Expenditure on General outpatient curative care,sha11.HC.1.3.1_gghe-d,Millions,measure
sha11_hc_1_3_2_gghe_d_million_ncu,Domestic General Government Expenditure on Dental outpatient curative care,sha11.HC.1.3.2_gghe-d,Millions,measure
sha11_hc_1_3_3_gghe_d_million_ncu,Domestic General Government Expenditure on Specialised outpatient curative care,sha11.HC.1.3.3_gghe-d,Millions,measure
sha11_hc_1_3_nec_gghe_d_million_ncu,Domestic General Government Expenditure on Outpatient curative care n.e.c.,sha11.HC.1.3.nec_gghe-d,Millions,measure
sha11_hc_2_gghe_d_million_ncu,Domestic General Government Expenditure on Rehabilitative care,sha11.HC.2_gghe-d,Millions,measure
sha11_hc_3_gghe_d_million_ncu,Domestic General Government Expenditure on Long-term care (health),sha11.HC.3_gghe-d,Millions,measure
sha11_hc_3_1_gghe_d_million_ncu,Domestic General Government Expenditure on Inpatient long-term care (health),sha11.HC.3.1_gghe-d,Millions,measure
sha11_hc_3_2_gghe_d_million_ncu,Domestic General Government Expenditure on Day long-term care (health),sha11.HC.3.2_gghe-d,Millions,measure
sha11_hc_3_3_gghe_d_million_ncu,Domestic General Government Expenditure on Outpatient long-term care (health),sha11.HC.3.3_gghe-d,Millions,measure
sha11_hc_3_4_gghe_d_million_ncu,Domestic General Government Expenditure on Home-based long-term care (health),sha11.HC.3.4_gghe-d,Millions,measure
sha11_hc_3_nec_gghe_d_million_ncu,Domestic General Government Expenditure on Other Long-Term Care,sha11.HC.3.nec_gghe-d,Millions,measure
sha11_hc_4_gghe_d_million_ncu,Domestic General Government Expenditure on Ancillary services (non-specified by function),sha11.HC.4_gghe-d,Millions,measure
sha11_hc_5_gghe_d_million_ncu,Domestic General Government Expenditure on Medical goods (non-specified by function),sha11.HC.5_gghe-d,Millions,measure
sha11_hc_6_gghe_d_million_ncu,Domestic General Government Expenditure on Preventive care,sha11.HC.6_gghe-d,Millions,measure
sha11_hc_7_gghe_d_million_ncu,"Domestic General Government Expenditure on Governance, health system & financing administration",sha11.HC.7_gghe-d,Millions,measure
sha11_hc_9_gghe_d_million_ncu,Domestic General Government Expenditure on Other health care services (n.e.c.),sha11.HC.9_gghe-d,Millions,measure
heading_hc_million_ncu,HEALTH CARE FUNCTIONS (preliminary data),Heading_HC,Ones,measure
heading_dis_million_ncu,DISEASES AND CONDITIONS,Heading_DIS,Ones,measure
sha11_dis_gghe_d_million_ncu,Domestic general government health expenditure by disease and condition ,sha11.DIS_gghe-d,Ones,measure
sha11_dis_ext_million_ncu,External sources of funding by disease and condition,sha11.DIS_ext,Ones,measure
sha11_dis_1_gghe_d_million_ncu,Domestic General Government Expenditure on infectious and parasitic diseases,sha11.DIS.1_gghe-d,Millions,measure
sha11_dis_2_gghe_d_million_ncu,Domestic General Government Expenditure on reproductive health,sha11.DIS.2_gghe-d,Millions,measure
sha11_dis_3_gghe_d_million_ncu,Domestic General Government Expenditure on nutritional deficiencies,sha11.DIS.3_gghe-d,Millions,measure
sha11_dis_4_gghe_d_million_ncu,Domestic General Government Expenditure on noncommunicable diseases,sha11.DIS.4_gghe-d,Millions,measure
sha11_dis_5_gghe_d_million_ncu,Domestic General Government Expenditure on injuries,sha11.DIS.5_gghe-d,Millions,measure
sha11_hc_6_2_gghe_d_million_ncu,Domestic General Government Expenditure on immunization programmes,sha11.HC.6.2_gghe-d,Millions,measure
sha11_dis_1_ext_million_ncu,External sources of funding on infectious and parasitic diseases,sha11.DIS.1_ext,Millions,measure
sha11_dis_2_ext_million_ncu,External sources of funding on reproductive health,sha11.DIS.2_ext,Millions,measure
sha11_dis_3_ext_million_ncu,External sources of funding on nutritional deficiencies,sha11.DIS.3_ext,Millions,measure
sha11_dis_4_ext_million_ncu,External sources of funding on noncommunicable diseases,sha11.DIS.4_ext,Millions,measure
sha11_dis_5_ext_million_ncu,External sources of funding on injuries,sha11.DIS.5_ext,Millions,measure
sha11_hc_6_2_ext_million_ncu,External sources of funding on immunization programmes ,sha11.HC.6.2_ext,Millions,measure
sha11_dis_1_1_gghe_d_million_ncu,Domestic General Government Expenditure on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_gghe-d,Millions,measure
sha11_dis_1_2_gghe_d_million_ncu,Domestic General Government Expenditure on tuberculosis,sha11.DIS.1.2_gghe-d,Millions,measure
sha11_dis_1_3_gghe_d_million_ncu,Domestic General Government Expenditure on malaria,sha11.DIS.1.3_gghe-d,Millions,measure
sha11_dis_2_3_gghe_d_million_ncu,Domestic General Government Expenditure on contraceptive management (family planning),sha11.DIS.2.3_gghe-d,Millions,measure
sha11_dis_1_1_ext_million_ncu,External sources of funding on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_ext,Millions,measure
sha11_dis_1_2_ext_million_ncu,External sources of funding on tuberculosis,sha11.DIS.1.2_ext,Millions,measure
sha11_dis_1_3_ext_million_ncu,External sources of funding on malaria,sha11.DIS.1.3_ext,Millions,measure
sha11_dis_2_3_ext_million_ncu,External sources of funding on contraceptive management (family planning),sha11.DIS.2.3_ext,Millions,measure
heading_age_million_ncu,AGE,Heading_AGE,Ones,measure
sha11_age_1_gghe_d_million_ncu,Domestic General Government Health Expenditure in the < 5 year-old population,sha11.AGE.1_gghe-d,Millions,measure
sha11_age_1_ext_million_ncu,External sources of funding in the < 5 year-old population,sha11.AGE.1_ext,Millions,measure
sha11_hf_million_current_us,Current health expenditure by financing schemes,sha11.HF,Millions,measure
sha11_hf_nec_million_current_us,Unspecified financing schemes (n.e.c.),sha11.HF.nec,Millions,measure
sha11_hf_4_million_current_us,Rest of the world financing schemes (non-resident),sha11.HF.4,Millions,measure
sha11_hf_3_million_current_us,Household out-of-pocket payment,sha11.HF.3,Millions,measure
sha11_hf_2_3_million_current_us,Enterprise financing schemes,sha11.HF.2.3,Millions,measure
sha11_hf_2_2_million_current_us,NPISH financing schemes (including development agencies),sha11.HF.2.2,Millions,measure
sha11_hf_2_1_million_current_us,Voluntary health insurance schemes,sha11.HF.2.1,Millions,measure
sha11_hf_2_million_current_us,Voluntary health care payment schemes,sha11.HF.2,Millions,measure
sha11_hf_1_3_million_current_us,Compulsory Medical Saving Accounts (CMSA),sha11.HF.1.3,Millions,measure
sha11_hf_1_2_2_million_current_us,Compulsory private insurance schemes,sha11.HF.1.2.2,Millions,measure
sha11_hf_1_2_1_million_current_us,Social health insurance schemes,sha11.HF.1.2.1,Millions,measure
sha11_hf_1_2_million_current_us,Compulsory contributory health insurance schemes,sha11.HF.1.2,Millions,measure
sha11_hf_1_1_million_current_us,Government schemes,sha11.HF.1.1,Millions,measure
sha11_hf_1_million_current_us,Government schemes and compulsory contributory health care financing schemes,sha11.HF.1,Millions,measure
sha11_fs_million_current_us,Current health expenditure by revenues of health care financing schemes,sha11.FS,Millions,measure
sha11_hk_million_current_us,Capital health expenditure,sha11.HK,Millions,measure
sha11_fs_1_million_current_us,Transfers from government domestic revenue (allocated to health purposes),sha11.FS.1,Millions,measure
sha11_fs_1_1_million_current_us,Internal transfers and grants,sha11.FS.1.1,Millions,measure
sha11_fs_1_2_million_current_us,Transfers by government on behalf of specific groups,sha11.FS.1.2,Millions,measure
sha11_fs_1_3_million_current_us,Subsidies,sha11.FS.1.3,Millions,measure
sha11_fs_1_4_million_current_us,Other transfers from government domestic revenue,sha11.FS.1.4,Millions,measure
sha11_fs_2_million_current_us,Transfers distributed by government from foreign origin,sha11.FS.2,Millions,measure
sha11_fs_3_million_current_us,Social insurance contributions,sha11.FS.3,Millions,measure
sha11_fs_4_million_current_us,"Compulsory prepayment (Other, and unspecified, than FS.3)",sha11.FS.4,Millions,measure
sha11_fs_5_million_current_us,Voluntary prepayment,sha11.FS.5,Millions,measure
sha11_fs_6_million_current_us,Other domestic revenues n.e.c.,sha11.FS.6,Millions,measure
sha11_fs_6_1_million_current_us,Other revenues from households n.e.c.,sha11.FS.6.1,Millions,measure
sha11_fs_6_2_million_current_us,Other revenues from corporations n.e.c.,sha11.FS.6.2,Millions,measure
sha11_fs_6_3_million_current_us,Other revenues from NPISH n.e.c.,sha11.FS.6.3,Millions,measure
sha11_fs_6_nec_million_current_us,Unspecified other domestic revenues (n.e.c.),sha11.FS.6.nec,Millions,measure
sha11_fs_7_million_current_us,Direct foreign transfers,sha11.FS.7,Millions,measure
sha11_fs_nec_million_current_us,Unspecified revenues of health care financing schemes (n.e.c.),sha11.FS.nec,Millions,measure
sha11_hc_million_current_us,Current health expenditure by health care functions (preliminary data),sha11.HC,Millions,measure
sha11_hc_9_million_current_us,Other health care services not elsewhere classified (n.e.c.),sha11.HC.9,Millions,measure
sha11_hc_7_million_current_us,"Governance, and health system and financing administration",sha11.HC.7,Millions,measure
sha11_hc_6_million_current_us,Preventive care,sha11.HC.6,Millions,measure
sha11_hc_5_million_current_us,Medical goods (specified by function),sha11.HC.5,Millions,measure
sha11_hc_4_million_current_us,Ancillary services (specified by function),sha11.HC.4,Millions,measure
sha11_hc_3_nec_million_current_us,Unspecified long-term care (n.e.c.),sha11.HC.3.nec,Millions,measure
sha11_hc_3_4_million_current_us,Home-based long-term care (health),sha11.HC.3.4,Millions,measure
sha11_hc_3_3_million_current_us,Outpatient long-term care (health),sha11.HC.3.3,Millions,measure
sha11_hc_3_2_million_current_us,Day long-term care (health),sha11.HC.3.2,Millions,measure
sha11_hc_3_1_million_current_us,Inpatient long-term care (health),sha11.HC.3.1,Millions,measure
sha11_hc_3_million_current_us,Long-term care (health),sha11.HC.3,Millions,measure
sha11_hc_2_million_current_us,Rehabilitative care,sha11.HC.2,Millions,measure
sha11_hc_1_nec_million_current_us,Unspecified curative care (n.e.c.),sha11.HC.1.nec,Millions,measure
sha11_hc_1_4_million_current_us,Home-based curative care,sha11.HC.1.4,Millions,measure
sha11_hc_1_3_nec_million_current_us,Unspecified outpatient curative care (n.e.c.),sha11.HC.1.3.nec,Millions,measure
sha11_hc_1_3_3_million_current_us,Specialised outpatient curative care,sha11.HC.1.3.3,Millions,measure
sha11_hc_1_3_2_million_current_us,Dental outpatient curative care,sha11.HC.1.3.2,Millions,measure
sha11_hc_1_3_1_million_current_us,General outpatient curative care,sha11.HC.1.3.1,Millions,measure
sha11_hc_1_3_million_current_us,Outpatient curative care,sha11.HC.1.3,Millions,measure
sha11_hc_1_2_million_current_us,Day curative care,sha11.HC.1.2,Millions,measure
sha11_hc_1_1_million_current_us,Inpatient curative care,sha11.HC.1.1,Millions,measure
sha11_hc_1_million_current_us,Curative care,sha11.HC.1,Millions,measure
sha11_hc_gghe_d_million_current_us,Domestic general government health expenditure by health care functions (preliminary data),sha11.HC_gghe-d,Millions,measure
sha11_hc_1_gghe_d_million_current_us,Domestic General Government Expenditure on Curative care,sha11.HC.1_gghe-d,Millions,measure
sha11_hc_1_3_gghe_d_million_current_us,Domestic General Government Expenditure on Outpatient curative care,sha11.HC.1.3_gghe-d,Millions,measure
sha11_hc_1_1_gghe_d_million_current_us,Domestic General Government Expenditure on Inpatient curative care,sha11.HC.1.1_gghe-d,Millions,measure
sha11_hc_1_2_gghe_d_million_current_us,Domestic General Government Expenditure on Day curative care,sha11.HC.1.2_gghe-d,Millions,measure
sha11_hc_1_4_gghe_d_million_current_us,Domestic General Government on Home-based curative care,sha11.HC.1.4_gghe-d,Millions,measure
sha11_hc_1_nec_gghe_d_million_current_us,Domestic General Government Expenditure on Other curative care,sha11.HC.1.nec_gghe-d,Millions,measure
sha11_hc_1_3_1_gghe_d_million_current_us,Domestic General Government Expenditure on General outpatient curative care,sha11.HC.1.3.1_gghe-d,Millions,measure
sha11_hc_1_3_2_gghe_d_million_current_us,Domestic General Government Expenditure on Dental outpatient curative care,sha11.HC.1.3.2_gghe-d,Millions,measure
sha11_hc_1_3_3_gghe_d_million_current_us,Domestic General Government Expenditure on Specialised outpatient curative care,sha11.HC.1.3.3_gghe-d,Millions,measure
sha11_hc_1_3_nec_gghe_d_million_current_us,Domestic General Government Expenditure on Outpatient curative care n.e.c.,sha11.HC.1.3.nec_gghe-d,Millions,measure
sha11_hc_2_gghe_d_million_current_us,Domestic General Government Expenditure on Rehabilitative care,sha11.HC.2_gghe-d,Millions,measure
sha11_hc_3_gghe_d_million_current_us,Domestic General Government Expenditure on Long-term care (health),sha11.HC.3_gghe-d,Millions,measure
sha11_hc_3_1_gghe_d_million_current_us,Domestic General Government Expenditure on Inpatient long-term care (health),sha11.HC.3.1_gghe-d,Millions,measure
sha11_hc_3_2_gghe_d_million_current_us,Domestic General Government Expenditure on Day long-term care (health),sha11.HC.3.2_gghe-d,Millions,measure
sha11_hc_3_3_gghe_d_million_current_us,Domestic General Government Expenditure on Outpatient long-term care (health),sha11.HC.3.3_gghe-d,Millions,measure
sha11_hc_3_4_gghe_d_million_current_us,Domestic General Government Expenditure on Home-based long-term care (health),sha11.HC.3.4_gghe-d,Millions,measure
sha11_hc_3_nec_gghe_d_million_current_us,Domestic General Government Expenditure on Other Long-Term Care,sha11.HC.3.nec_gghe-d,Millions,measure
sha11_hc_4_gghe_d_million_current_us,Domestic General Government Expenditure on Ancillary services (non-specified by function),sha11.HC.4_gghe-d,Millions,measure
sha11_hc_5_gghe_d_million_current_us,Domestic General Government Expenditure on Medical goods (non-specified by function),sha11.HC.5_gghe-d,Millions,measure
sha11_hc_6_gghe_d_million_current_us,Domestic General Government Expenditure on Preventive care,sha11.HC.6_gghe-d,Millions,measure
sha11_hc_7_gghe_d_million_current_us,"Domestic General Government Expenditure on Governance, health system & financing administration",sha11.HC.7_gghe-d,Millions,measure
sha11_hc_9_gghe_d_million_current_us,Domestic General Government Expenditure on Other health care services (n.e.c.),sha11.HC.9_gghe-d,Millions,measure
heading_hc_million_current_us,HEALTH CARE FUNCTIONS (preliminary data),Heading_HC,Ones,measure
heading_dis_million_current_us,DISEASES AND CONDITIONS,Heading_DIS,Ones,measure
sha11_dis_gghe_d_million_current_us,Domestic general government health expenditure by disease and condition ,sha11.DIS_gghe-d,Ones,measure
sha11_dis_ext_million_current_us,External sources of funding by disease and condition,sha11.DIS_ext,Ones,measure
sha11_dis_1_gghe_d_million_current_us,Domestic General Government Expenditure on infectious and parasitic diseases,sha11.DIS.1_gghe-d,Millions,measure
sha11_dis_2_gghe_d_million_current_us,Domestic General Government Expenditure on reproductive health,sha11.DIS.2_gghe-d,Millions,measure
sha11_dis_3_gghe_d_million_current_us,Domestic General Government Expenditure on nutritional deficiencies,sha11.DIS.3_gghe-d,Millions,measure
sha11_dis_4_gghe_d_million_current_us,Domestic General Government Expenditure on noncommunicable diseases,sha11.DIS.4_gghe-d,Millions,measure
sha11_dis_5_gghe_d_million_current_us,Domestic General Government Expenditure on injuries,sha11.DIS.5_gghe-d,Millions,measure
sha11_hc_6_2_gghe_d_million_current_us,Domestic General Government Expenditure on immunization programmes,sha11.HC.6.2_gghe-d,Millions,measure
sha11_dis_1_ext_million_current_us,External sources of funding on infectious and parasitic diseases,sha11.DIS.1_ext,Millions,measure
sha11_dis_2_ext_million_current_us,External sources of funding on reproductive health,sha11.DIS.2_ext,Millions,measure
sha11_dis_3_ext_million_current_us,External sources of funding on nutritional deficiencies,sha11.DIS.3_ext,Millions,measure
sha11_dis_4_ext_million_current_us,External sources of funding on noncommunicable diseases,sha11.DIS.4_ext,Millions,measure
sha11_dis_5_ext_million_current_us,External sources of funding on injuries,sha11.DIS.5_ext,Millions,measure
sha11_hc_6_2_ext_million_current_us,External sources of funding on immunization programmes ,sha11.HC.6.2_ext,Millions,measure
sha11_dis_1_1_gghe_d_million_current_us,Domestic General Government Expenditure on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_gghe-d,Millions,measure
sha11_dis_1_2_gghe_d_million_current_us,Domestic General Government Expenditure on tuberculosis,sha11.DIS.1.2_gghe-d,Millions,measure
sha11_dis_1_3_gghe_d_million_current_us,Domestic General Government Expenditure on malaria,sha11.DIS.1.3_gghe-d,Millions,measure
sha11_dis_2_3_gghe_d_million_current_us,Domestic General Government Expenditure on contraceptive management (family planning),sha11.DIS.2.3_gghe-d,Millions,measure
sha11_dis_1_1_ext_million_current_us,External sources of funding on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_ext,Millions,measure
sha11_dis_1_2_ext_million_current_us,External sources of funding on tuberculosis,sha11.DIS.1.2_ext,Millions,measure
sha11_dis_1_3_ext_million_current_us,External sources of funding on malaria,sha11.DIS.1.3_ext,Millions,measure
sha11_dis_2_3_ext_million_current_us,External sources of funding on contraceptive management (family planning),sha11.DIS.2.3_ext,Millions,measure
heading_age_million_current_us,AGE,Heading_AGE,Ones,measure
sha11_age_1_gghe_d_million_current_us,Domestic General Government Health Expenditure in the < 5 year-old population,sha11.AGE.1_gghe-d,Millions,measure
